MOB,Term36,Term48,Term60,Term72
0,0,0,0,0
1,0.0003987638321,0.003279763857,0.00002877946298,0.00002881927433
2,0.0009969095803,0.004919645786,0.0005755892595,0.0001152770973
3,0.001993819161,0.006559527714,0.002590151668,0.0005763854866
4,0.003987638321,0.008199409643,0.003453535557,0.00259373469
5,0.03987638321,0.009839291571,0.005755892595,0.00345831292
6,0.04984547902,0.01311905543,0.01151178519,0.005763854866
7,0.05981457482,0.01639881929,0.01438973149,0.01152770973
8,0.06978367062,0.01967858314,0.01582870464,0.01440963717
9,0.06778985146,0.022958347,0.01726767779,0.01585060088
10,0.0657960323,0.02623811086,0.01957003482,0.0172915646
11,0.06479912272,0.02613971794,0.02187239186,0.01959710654
12,0.06420097697,0.02604132502,0.0241747489,0.02190264849
13,0.06380221314,0.02594293211,0.02408841051,0.02420819044
14,0.06180839398,0.02584453919,0.02400207212,0.02412173261
15,0.05981457482,0.02574614628,0.02391573373,0.02403527479
16,0.04785165985,0.02564775336,0.02382939534,0.02394881697
17,0.03588874489,0.02554936045,0.02374305695,0.02386235915
18,0.02990728741,0.02545096753,0.02365671857,0.02377590132
19,0.02392582993,0.02535257461,0.02357038018,0.0236894435
20,0.01794437245,0.0252541817,0.02348404179,0.02360298568
21,0.01595055328,0.02515578878,0.0233977034,0.02351652785
22,0.0149536437,0.02505739587,0.02331136501,0.02343007003
23,0.01395673412,0.02495900295,0.02322502662,0.02334361221
24,0.01295982454,0.02486061004,0.02313868823,0.02325715438
25,0.01196291496,0.02476221712,0.02305234984,0.02317069656
26,0.01096600538,0.0246638242,0.02296601145,0.02308423874
27,0.009969095803,0.02433584782,0.02287967307,0.02299778092
28,0.008972186223,0.02400787143,0.02279333468,0.02291132309
29,0.007975276642,0.02367989505,0.02250554005,0.02282486527
30,0.006978367062,0.02335191866,0.02221774542,0.02253667253
31,0.005981457482,0.02302394228,0.02192995079,0.02224847978
32,0.00558269365,0.02269596589,0.02164215616,0.02196028704
33,0.005183929818,0.0223679895,0.02135436153,0.0216720943
34,0.004785165985,0.02204001312,0.0210665669,0.02138390155
35,0.004386402153,0.02171203673,0.02077877227,0.02109570881
36,0.003987638321,0.02138406035,0.02049097764,0.02080751607
37,0.003588874489,0.02105608396,0.02020318301,0.02051932332
38,0.003190110657,0.02072810758,0.01991538838,0.02023113058
39,0.002791346825,0.02040013119,0.01962759375,0.01994293784
40,0.002392582993,0.0200721548,0.01933979912,0.01965474509
41,0.001993819161,0.01876024926,0.01905200449,0.01936655235
42,0.001595055328,0.01744834372,0.01876420986,0.01907835961
43,0.001196291496,0.01613643818,0.01761303134,0.01879016686
44,0.0007975276642,0.01482453263,0.01646185282,0.01763739589
45,0.0001993819161,0.01351262709,0.0153106743,0.01648462492
46,0.0001993819161,0.01220072155,0.01415949578,0.01533185394
47,0.0001993819161,0.01088881601,0.01300831726,0.01417908297
48,0.0001993819161,0.009576910462,0.01185713875,0.013026312
49,0.0001993819161,0.00826500492,0.01070596023,0.01187354102
50,0.0001993819161,0.006953099377,0.009554781708,0.01072077005
51,0.0001993819161,0.00367333552,0.008403603189,0.009567999078
52,0.0001993819161,0.0003935716628,0.00725242467,0.008415228105
53,0.0001993819161,0.0003935716628,0.004374478372,0.007262457131
54,0.0001993819161,0.0003935716628,0.001496532075,0.004380529698
55,0.0001993819161,0.0003935716628,0.001496532075,0.001498602265
56,0.0001993819161,0.0003935716628,0.001496532075,0.001498602265
57,0.0001993819161,0.0003935716628,0.001496532075,0.001498602265
58,0.0001993819161,0.0003935716628,0.001496532075,0.001498602265
59,0.0001993819161,0.0003935716628,0.001496532075,0.001498602265
60,0.0001993819161,0.0003935716628,0.001496532075,0.001498602265
61,0.0001993819161,0.0003935716628,0.001496532075,0.001498602265
62,0.0001993819161,0.0003935716628,0.001496532075,0.001498602265
63,0.0001993819161,0.0003935716628,0.001496532075,0.001498602265
64,0.0001993819161,0.0003935716628,0.001496532075,0.001498602265
65,0.0001993819161,0.0003935716628,0.001496532075,0.001498602265
66,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
67,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
68,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
69,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
70,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
71,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
72,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
73,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
74,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
75,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
76,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
77,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
78,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
79,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
80,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
81,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
82,0.00009969095803,0.0003935716628,0.001496532075,0.001498602265
